,nid,title,department,staff,time,text
20,10020,轉知-檢送臺北市111年度市立國民中學候用校長甄選儲訓須知及相關附件各1份,人事室,人事助理,2021-12-24 07:55:08,一、依據110年12月10日臺北市111年度市立國民中學候用校長甄選儲訓委員會第1次會議決議辦理。一、依據110年12月10日臺北市111年度市立國民中學候用校長甄選儲訓委員會第1次會議決議辦理。二、111年度市立國民中學候用校長甄選錄取名額為6名。二、111年度市立國民中學候用校長甄選錄取名額為6名。三、本次甄選報名時間及方式如下：三、本次甄選報名時間及方式如下： (一)報名時間： 110年12月27日（星期一）上午9時至111年1月5日（星期三）下午4時止。 (一)報名時間： 110年12月27日（星期一）上午9時至111年1月5日（星期三）下午4時止。 (二)本次採線上報名，請逕至臺北市政府教育局國中候用校長報名網頁 (二)本次採線上報名，請逕至臺北市政府教育局國中候用校長報名網頁    （網址：https://ppjhs.tp.edu.tw/ppjhs108/SSO）填妥報名表件，並上傳證明文件電子檔。    （網址：https://ppjhs.tp.edu.tw/ppjhs108/SSO）填妥報名表件，並上傳證明文件電子檔。 (三)甄選儲訓須知及相關表件請至臺北市政府教育局國中候用校長報名網頁 (三)甄選儲訓須知及相關表件請至臺北市政府教育局國中候用校長報名網頁    （網址：https://ppjhs.tp.edu.tw/ppjhs108/SSO）下載。    （網址：https://ppjhs.tp.edu.tw/ppjhs108/SSO）下載。
21,10021,轉知-111學年度【國立臺北護理健康大學生死與健康心理諮商系碩士班招生】,人事室,人事助理,2021-12-24 08:05:20,一、生死與健康心理諮商系碩士班招生報名期間110年12月1日至111年1月14日。一、生死與健康心理諮商系碩士班招生報名期間110年12月1日至111年1月14日。二、招生名額：諮商心理組7名、生死學組5名。二、招生名額：諮商心理組7名、生死學組5名。三、簡章下載請至國立臺北護理健康大學首頁→招生訊息，三、簡章下載請至國立臺北護理健康大學首頁→招生訊息，    網址：https://examweb.ntunhs.edu.tw/admission/detail/webSN/1/articlesn/639    網址：https://examweb.ntunhs.edu.tw/admission/detail/webSN/1/articlesn/639四、如有報考詢問事項，請逕洽承辦聯絡人周佳靜，聯絡電話：(02)28227101#7251。四、如有報考詢問事項，請逕洽承辦聯絡人周佳靜，聯絡電話：(02)28227101#7251。
22,10022,中原大學華語文教學中心「111年華語文遠距師資及教學實務培訓班」簡章及海報，請參閱。,教務處,實研幹事,2021-12-24 08:13:21,主旨：中原大學華語文教學中心「111年華語文遠距師資及教學實務培訓班」簡章及海報，請詳閱說明及附件。說明：一、本校華語文教學中心訂於111年3月19日至6月25日週末辦理華語文師資班，共計135小時。二、旨揭課程結合理論與實務，包含「教育部對外華語教學能力認證」考試之核心考科，符合課程時數出席規定，並通過試教者，可取得研習證明。三、本課程採實體及線上同步授課，課程資訊及優惠辦法請參閱簡章。線上報名網址：https://reurl.cc/ARxNAe。
23,10023,轉知-國立臺北護理健康大學資訊管理系111學年度碩士班暨在職專班招生,人事室,人事助理,2021-12-24 08:15:28,一、本招生一律採網路報名，報名日期自110年12月01日（星期三）上午09：00起至111年01月14日（星期五）下午23：59止。一、本招生一律採網路報名，報名日期自110年12月01日（星期三）上午09：00起至111年01月14日（星期五）下午23：59止。二、國立臺北護理健康大學資訊管理系碩士班招生名額：一般生(含在職生)共5名。二、國立臺北護理健康大學資訊管理系碩士班招生名額：一般生(含在職生)共5名。三、國立臺北護理健康大學資訊管理系碩士班招生科目：三、國立臺北護理健康大學資訊管理系碩士班招生科目： (一)第一階段：書面資料審查(100%) (一)第一階段：書面資料審查(100%) (二)第二階段：面試(100%) (二)第二階段：面試(100%)四、招生簡章於國立臺北護理健康大學首頁/招生資訊公告，不另發售紙本簡章，考生可自行由網頁查詢或列印四、招生簡章於國立臺北護理健康大學首頁/招生資訊公告，不另發售紙本簡章，考生可自行由網頁查詢或列印   （簡章及相關附件下載：https://examweb.ntunhs.edu.tw/upload/articles_file/615422153e0cb.pdf）   （簡章及相關附件下載：https://examweb.ntunhs.edu.tw/upload/articles_file/615422153e0cb.pdf）五、報考資格、報名事宜及其他相關事項等，請詳招生簡章。五、報考資格、報名事宜及其他相關事項等，請詳招生簡章。
24,10024,函轉教育部委請臺北市立大學（下稱北市大）辦理110年「校長暨教師專業發展支持作業平臺」功能擴充說明會,教務處,教學組幹事,2021-12-24 10:48:42,
25,10025,國立教育廣播電臺「111年麥寶電波－廣播親近校園計畫」自即日起至111年1月29日止開放申請,教務處,教學組幹事,2021-12-24 10:54:23,
26,10026,臺北市青少年發展處之免費講座：「創業實踐之路-菜市場的千萬品牌電商」,輔導室,輔導幹事,2021-12-24 13:28:59,一、經由講師職涯經驗分享，讓年輕學子認識各行各業，藉以了解自身興趣及性向，進而找到未來的道路與建立自我價值；團圓堅果創辦人劉家昇老師帶您初探電商的真實面貌。二、活動說明如下：(一)參加對象：青少年學子及一般民眾。(二)活動時間：111年1月8日（星期六）下午2時30分至4時10分。(三)報名方式：網路報名（https://reurl.cc/6DWEbk）。(四)報名費用：免費。(五)活動地點：臺北市青少年發展處6樓大研討室（臺北市中正區仁愛路1段17號）。三、宣傳稿內容如下：(一)90字：臺北市青少年發展處1月8日14:30舉辦達人開講「創業實踐之路-菜市場的千萬品牌電商」，劉家昇老師與您分享電商的真實面貌，以及過程中的挑戰。活動免費，詳見青發處官網。(二)60字：臺北市青少年發展處1月8日14:30舉辦達人開講：創業實踐之路-菜市場的千萬品牌電商。劉家昇與您分享生涯經歷；活動免費詳見青發處官網。(三)30字：青發處1/8劉家昇開講：創業實踐之路-菜市場的千萬品牌電商。活動免費詳官網。四、若對本活動有任何問題，請洽聯絡窗口：02-23514078轉1761，莊先生。
27,10027,[高三]110學年度第1學期期末考—考程表,教務處,教學組幹事,2021-12-24 14:28:08,公告［高三］110學年度第1學期第3次定期評量(期末考)考程表考試日期：110.12.29(三)、110.12.30(四)考試年段：高三詳細考程表請見附件。註：國一～高二之第3次定期評量將於111.1.18、111.1.19舉行，考程表將於考前另行公告。
28,10028,轉知國立臺灣師範大學辦理「中華民國參加2022年第15屆國際地球科學奧林匹亞競賽國家代表隊選拔及培訓要點」1份,教務處,設備幹事,2021-12-24 15:28:24,
29,10029,檢送教育部普通高級中學課程藝術生活學科中心全國教師專業成長研習-從多元選修線上課程「影像作為表述與參與的方式」出發-[素養導向]《認識動畫基礎與教學》工作坊」實施計劃乙份,教務處,教學組幹事,2021-12-25 09:53:38,
30,10030,111年度高級中等學校專業群科專任教師赴公民營機構研習或研究寒假報名相關事宜,教務處,教學組幹事,2021-12-25 09:54:25,
31,10031,檢送「110學年度中小學媒體素養教育教師研習計畫」1份,教務處,教學組幹事,2021-12-25 09:56:14,
32,10032,教育部實踐藝術教學實踐研究分區發表會，請藝術領域視覺藝術教師踴躍參加,教務處,教學組幹事,2021-12-25 09:56:56,
33,10033,教育部設計思考跨領域人才培育苗圃A類鋪植型苗圃計畫-初階種子教師工作坊,教務處,教學組幹事,2021-12-27 08:19:52,
34,10034,轉知-「師鐸獎評選及表揚活動實施要點」第7點，業經教育部於中華民國110年12月21日以臺教師（三）字第1100166606A號令修正發布,人事室,人事助理,2021-12-27 08:32:03,一、依教育部110年12月21日臺教師(三)字第1100166606B號函辦理。一、依教育部110年12月21日臺教師(三)字第1100166606B號函辦理。二、旨案電子檔得於教育部主管法規查詢系統（http://edu.law.moe.gov.tw）下載。二、旨案電子檔得於教育部主管法規查詢系統（http://edu.law.moe.gov.tw）下載。三、若對該行政規則有任何疑問，請逕洽教育部師資培育及藝術教育司潘小姐（電話：02-7736-5726）。三、若對該行政規則有任何疑問，請逕洽教育部師資培育及藝術教育司潘小姐（電話：02-7736-5726）。
35,10035,轉知-教育部「師鐸獎評選及表揚活動實施要點」第7點，業經該部於110年12月21日以臺教師（三）字第1100166606A號令修正發布,人事室,人事助理,2021-12-27 08:38:07,一、依據教育部110年12月21日臺教師(三)字第1100166606B號函辦理。一、依據教育部110年12月21日臺教師(三)字第1100166606B號函辦理。二、本案電子檔得於教育部主管法規查詢系統（http://edu.law.moe.gov.tw）下載。二、本案電子檔得於教育部主管法規查詢系統（http://edu.law.moe.gov.tw）下載。三、若對本行政規則有任何疑問，請逕洽教育部師資培育及藝術教育司潘小姐（電話：02-7736-5726）。三、若對本行政規則有任何疑問，請逕洽教育部師資培育及藝術教育司潘小姐（電話：02-7736-5726）。
36,10036,轉知-國立嘉義大學管理學院碩士在職專班111學年度招生資訊,人事室,人事助理,2021-12-27 08:43:08,旨揭招生報名日期自111年1月14日至2月14日下午5時止，一律採網路報名，招生簡章下載與報名網址：旨揭招生報名日期自111年1月14日至2月14日下午5時止，一律採網路報名，招生簡章下載與報名網址：      https://admissions.ncyu.edu.tw/www.aspx?webprjno=AAAG。      https://admissions.ncyu.edu.tw/www.aspx?webprjno=AAAG。二、本校管理學院碩士在職專班已有千餘位畢業校友，遍布各行各業且都有傑出的表現，111學年度招收一般管理組二、本校管理學院碩士在職專班已有千餘位畢業校友，遍布各行各業且都有傑出的表現，111學年度招收一般管理組    60名及創意產業與觀光休閒管理組40名，合計100名。    60名及創意產業與觀光休閒管理組40名，合計100名。三、該專班整合管理學院豐富且優質的師資，提供多元且兼具理論與實務課程；採週末上課方式，使學生得以兼顧工作、三、該專班整合管理學院豐富且優質的師資，提供多元且兼具理論與實務課程；採週末上課方式，使學生得以兼顧工作、    學業及家庭；以專業實務報告取代碩士論文，為在職進修最佳選擇，歡迎非商管或商管科系畢業者報考。    學業及家庭；以專業實務報告取代碩士論文，為在職進修最佳選擇，歡迎非商管或商管科系畢業者報考。四、檢附招生文宣海報1份，請協助宣傳。四、檢附招生文宣海報1份，請協助宣傳。
37,10037,轉知-國立嘉義大學教育學系111學年度數理教育碩士在職專班招生,人事室,人事助理,2021-12-27 08:47:43,一、報名日期：111年1月4日至1月24日(一律網路報名)。一、報名日期：111年1月4日至1月24日(一律網路報名)。二、面試日期：111年3月26日(星期六)。二、面試日期：111年3月26日(星期六)。三、本班上課時間為星期五晚上及星期六。三、本班上課時間為星期五晚上及星期六。
38,10038,轉知：高級中等以下學校表演藝術類團隊練習因應COVID-19防疫注意事項，詳附件。,活動組,活動幹事,2021-12-27 08:56:59,
39,10039,轉知：臺北市立永春高中辦理「XR實境教育創意大賞」競賽簡章，詳附件。,活動組,活動幹事,2021-12-27 09:00:49,
40,10040,南門自造教育及科技中心辦理「111年1至5月教師培訓研習」課程,教務處,教學組幹事,2021-12-27 09:26:16,
41,10041,轉知-公務人員退休撫卹基金管理委員會配合軍公教人員退撫基金提撥費率自111年1月1日起調整為14%，業修正退撫基金費用繳費標準，屆時依修正後之繳費標準繳納基金費用,人事室,人事助理,2021-12-27 11:28:30,依教育部110年12月15日臺教人(四)字第1100171160號書函轉公務人員退休撫卹基金管理委員會110年12月10日台管業一字依教育部110年12月15日臺教人(四)字第1100171160號書函轉公務人員退休撫卹基金管理委員會110年12月10日台管業一字第1101618044號函辦理，並檢附原函影本1份。第1101618044號函辦理，並檢附原函影本1份。
42,10042,[國三升學]轉知新北市立樹林高中111學年度原住民專班招生簡章,教務處,註冊組幹事,2021-12-27 13:01:10,新北市立樹林高中111學年度原住民專班招生簡章新北市立樹林高中111學年度原住民專班招生簡章說明：說明：一、招生對象：招收基北區(基隆市、台北市、新北市)及共同就學區(桃園市龜山區)之品德優良、具學習潛力或有意願傳承原住民文化之國中應屆原住民族畢業生。一、招生對象：招收基北區(基隆市、台北市、新北市)及共同就學區(桃園市龜山區)之品德優良、具學習潛力或有意願傳承原住民文化之國中應屆原住民族畢業生。二、報名送件時間：111年3月11日（星期五）起至111年5月20日（星期五）止。二、報名送件時間：111年3月11日（星期五）起至111年5月20日（星期五）止。三、報名費：免費。三、報名費：免費。四、簡章暨報名表（附件一）及原住民專班簡介（附件二），可自行影印或至該校校網（https://www.slsh.ntpc.edu.tw/）首頁下載使用。四、簡章暨報名表（附件一）及原住民專班簡介（附件二），可自行影印或至該校校網（https://www.slsh.ntpc.edu.tw/）首頁下載使用。五、如有疑問或升學宣導需求，歡迎電洽(02)86852011分機4405。五、如有疑問或升學宣導需求，歡迎電洽(02)86852011分機4405。
43,10043,111年國民法官模擬法庭前進校園活動種子教師培訓營(第一期),生輔組,生輔組組長,2021-12-27 14:07:56,一、國教署函轉法官學院「111年國民法官模擬法庭前進校園活動種子教師培訓營(第一期)」，請轉知貴校教師踴躍參與，請核示！二、旨揭為深耕校園法治教育於明年1月21日(週五)辦理培訓營，以國高中及大專院校教師為主，共培訓40人。三、報名期限訂於1月3日12時至1月5日17時止，網站報名(網址：http://tpireg.judicial.gov.tw/jasignup/signupsite/)。四、凡參加研習營之教師於研習期滿後，依上課時數核予學習時數認證，請鼓勵教師參加，並建議給予公假。
44,10044,「國民法官校園模擬法庭種子講師工作坊」2場次請教師及行政人員踴躍參與,生輔組,生輔組組長,2021-12-27 14:09:26,一、國教署函送「國民法官校園模擬法庭種子講師工作坊」2場次請教師及行政人員踴躍參與。二、旨揭民間司改會訂於明年元月八號、廿九號分別於台北及台南辦理兩場「國民法官校園模擬法庭種子講師工作坊」以實體方式進行。三、報名方式：(一)活動資訊：https://www.jrf.org.tw/articles/2181(二)線上報名：https://neti.cc/vXWBmdY
45,10045,函轉:教育部國民及學前教育署修訂「教育人員兒童及少年保護工作手冊」，詳如說明，請查照。,生輔組,學創-生輔林,2021-12-27 15:26:22,
46,10046,轉知國立臺灣大學將辦理第九期教師在職進修「生命教育科課程教學學分班」簡章更正,教務處,教學組幹事,2021-12-27 17:38:48,
47,10047,【高一】110學年度第2學期高一第1期程微課程(1)課程大綱與選課注意事項,教務處,教學組幹事,2021-12-27 17:42:54,【高一】110學年度第2學期  高一第1期程微課程(1)——課程大綱與注意事項1.教務處定於111年01月05日(三) 中午12時30分起　至　01月09日(日) 晚上23點59分止 開放選課。111年01月05日(三) 中午12時30分起　01月09日(日) 晚上23點59分止    (請至臺北市高中第二代校務行政系統)   (請至臺北市高中第二代校務行政系統)2.110學年度第2學期高一第1期程微課程(1)課程大綱，詳閱附件，即日起至111年01月05日(三)，請同學先行詳閱各門課程大綱，可事先思考自己所想選擇的課程。3.預定開設課程如下：  (1)＋－Big Data  (2)Physics Simulations Using VPython  (3)古代人的現代智慧  (4)哲學批判思考  (5)青花瓷  (6)食隨知味：飲食文學專題  (7)氣象新聞播報體驗4.110年12月29日(三)將發放選課流程資訊供各班參閱。
48,10048,【高二】110學年度第2學期高二第1期程微課程(1)課程大綱與選課注意事項,教務處,教學組幹事,2021-12-27 18:01:48,【高二】110學年度第2學期  高二第1期程微課程(1)——課程大綱與注意事項1.教務處定於111年01月05日(三)中午12時30分起　至　01月09日(日)晚上23點59分止　開放選課。111年01月05日(三)中午12時30分起　01月09日(日)晚上23點59分止　(請至臺北市高中第二代校務行政系統)(請至臺北市高中第二代校務行政系統)2.110學年度第2學期高二第1期程微課程(1)課程大綱，請詳閱附件，即日起至111年01月05日(三)，請同學先行詳閱各門課程大綱，可事先思考自己想選擇的課程。3.目前預定所開課程如下：  (1)化繁為簡(下)  (2)日本風俗文化與旅遊觀光  (3)哲學體驗──批判思考  (4)媒體是毒？媒體識讀！  (5)傲慢與偏見：性別心理學  (6)回首來時路：觀看「傳記」文學  (7)VIDEO MAGAZINE  (8)生活韓語4.本次特請學聯會協助調查同學修課志向與意願，經調查後預計開設第8門課「生活韓語」，因師資仍在積極向政大尋求支援，課程內容大綱待補。5.110年12月29日(三)將發放選課流程資訊供各班參閱。
49,10049,[高三升學]轉知明道大學111學年度智慧暨精緻農業學系農業公費班,教務處,註冊組幹事,2021-12-28 09:36:52,"明道大學111學年度智慧暨精緻農業學系農業公費班明道大學111學年度智慧暨精緻農業學系農業公費班明道大學111學年度智慧暨精緻農業學系農業公費班說明：說明：說明：一、行政院農業委員會委託明道大學辦理農業公費生（農業公費專班）培育計畫，以推動新農民培育。一、行政院農業委員會委託明道大學辦理農業公費生（農業公費專班）培育計畫，以推動新農民培育。二、該校111學年度招生名額：30名，報考資格：符合入學大學同等學力者（普通高中及非農業類科畢業生亦可報考）。二、該校111學年度招生名額：30名，報考資格：符合入學大學同等學力者（普通高中及非農業類科畢業生亦可報考）。公費班補助內容：公費班補助內容：大學四年（含1年校外實務實習）就學期間學費全免。大學四年（含1年校外實務實習）就學期間學費全免。每學期發給生活津貼新台幣12,000元（6學期）。每學期發給生活津貼新台幣12,000元（6學期）。補助學生宿舍住宿費（6學期）。補助學生宿舍住宿費（6學期）。畢業從農每月補助從農準備金新台幣1.5萬～3萬，最高補助二年。畢業從農每月補助從農準備金新台幣1.5萬～3萬，最高補助二年。三、報名期間：即日起至111年4月6日。三、報名期間：即日起至111年4月6日。四、如有相關報名與課程問題可電洽04-8876660分機8211陳先生。四、如有相關報名與課程問題可電洽04-8876660分機8211陳先生。五、簡章免費下載，網址： https://src.mdu.edu.tw/zh_tw/agriculture。五、簡章免費下載，網址： https://src.mdu.edu.tw/zh_tw/agriculture。"
50,10050,[獎助學金]轉知110學年度財團法人中華民國電腦技能基金會獎學金,教務處,註冊組幹事,2021-12-28 10:52:05,110學年度財團法人中華民國電腦技能基金會獎學金110學年度財團法人中華民國電腦技能基金會獎學金110學年度財團法人中華民國電腦技能基金會獎學金說明：說明：說明：一、凡就讀國內公、私立大專校院、高中職之應屆畢業生且符合資格者即可申請。申請時間為111年1月10日(一)起至3/2(三)止，申請方式如下：一、凡就讀國內公、私立大專校院、高中職之應屆畢業生且符合資格者即可申請。申請時間為111年1月10日(一)起至3/2(三)止，申請方式如下：(一)線上填寫申請表並下載「檢具證明表單」張貼證明文件。(一)線上填寫申請表並下載「檢具證明表單」張貼證明文件。(二)「檢具證明表單」郵寄至該會各區推廣中心。(二)「檢具證明表單」郵寄至該會各區推廣中心。二、得獎名單將於110/4/12(二)於該會網頁公告。二、得獎名單將於110/4/12(二)於該會網頁公告。三、活動辦法請於網站下載http://www.csf.org.tw/main/scholarship，若需進一步了解申請辦法，亦可洽該會各區推廣中心。三、活動辦法請於網站下載http://www.csf.org.tw/main/scholarship，若需進一步了解申請辦法，亦可洽該會各區推廣中心。北區推廣中心：（02）2577-8806。北區推廣中心：（02）2577-8806。中區推廣中心：（04）2238-6572。中區推廣中心：（04）2238-6572。南區推廣中心：（07）311-9568。南區推廣中心：（07）311-9568。
51,10051,行政院新聞傳播處110年12月份公共服務政策溝通短片合輯。,生輔組,生輔組組長,2021-12-28 14:54:20,防毒反毒不碰毒車禍現場拍照錄影五原則勞動事件法加班篇國民法官吳念真支持篇製
